trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
7942605,07:10:00,07:10:00,2759346,0,1
7942605,,,2927977,1,0
7942605,,,2927978,2,0
7942605,,,2927979,3,0
7942605,,,2927980,4,0
7942605,,,2927981,5,0
7942605,,,2927982,6,0
7942605,07:15:00,07:15:00,2933837,7,1
7942605,,,2927983,8,0
7942605,,,2927984,9,0
7942605,,,2927985,10,0
7942605,,,2927986,11,0
7942605,07:21:00,07:21:00,2933838,12,1
7942605,,,2927987,13,0
7942605,07:26:00,07:26:00,2927988,14,1
7942605,,,2927989,15,0
7942605,,,2927990,16,0
7942605,,,2927991,17,0
7942605,,,2927992,18,0
7942605,,,2927993,19,0
7942605,,,2928387,20,0
7942605,,,2928388,21,0
7942605,,,2928389,22,0
7942605,,,2928702,23,0
7942605,,,2928703,24,0
7942605,,,2928704,25,0
7942605,,,2928705,26,0
7942605,07:30:00,07:30:00,2759362,27,1
7942605,07:35:00,07:35:00,2928707,28,1
7942605,,,2928708,29,0
7942605,,,2928709,30,0
7942605,,,2928710,31,0
7942605,,,2928711,32,0
7942605,,,2928712,33,0
7942605,,,2928713,34,0
7942605,,,2928714,35,0
7942605,,,2928715,36,0
7942605,,,2928716,37,0
7942605,07:41:00,07:41:00,2933815,38,1
7942605,,,2933816,39,0
7942605,,,2933817,40,0
7942605,,,2933818,41,0
7942605,,,2933835,42,0
7942605,07:46:00,07:46:00,2933836,43,1
7942605,,,2933819,44,0
7942605,,,2933820,45,0
7942605,,,2933821,46,0
7942605,,,2933822,47,0
7942605,,,2933823,48,0
7942605,07:51:00,07:51:00,2933824,49,1
7942605,,,2933825,50,0
7942605,,,2933826,51,0
7942605,,,2933827,52,0
7942605,,,2933828,53,0
7942605,,,2933829,54,0
7942605,,,2933830,55,0
7942605,,,2933831,56,0
7942605,,,2933832,57,0
7942605,,,2933833,58,0
7942605,,,2933834,59,0
7942605,08:02:00,08:02:00,2759335,60,1
7954083,08:10:00,08:10:00,2759346,0,1
7954083,,,2927977,1,0
7954083,,,2927978,2,0
7954083,,,2927979,3,0
7954083,,,2927980,4,0
7954083,,,2927981,5,0
7954083,,,2927982,6,0
7954083,08:15:00,08:15:00,2933837,7,1
7954083,,,2927983,8,0
7954083,,,2927984,9,0
7954083,,,2927985,10,0
7954083,,,2927986,11,0
7954083,08:21:00,08:21:00,2933838,12,1
7954083,,,2927987,13,0
7954083,08:26:00,08:26:00,2927988,14,1
7954083,,,2927989,15,0
7954083,,,2927990,16,0
7954083,,,2927991,17,0
7954083,,,2927992,18,0
7954083,,,2927993,19,0
7954083,,,2928387,20,0
7954083,,,2928388,21,0
7954083,,,2928389,22,0
7954083,,,2928702,23,0
7954083,,,2928703,24,0
7954083,,,2928704,25,0
7954083,,,2928705,26,0
7954083,08:30:00,08:30:00,2759362,27,1
7954083,08:35:00,08:35:00,2928707,28,1
7954083,,,2928708,29,0
7954083,,,2928709,30,0
7954083,,,2928710,31,0
7954083,,,2928711,32,0
7954083,,,2928712,33,0
7954083,,,2928713,34,0
7954083,,,2928714,35,0
7954083,,,2928715,36,0
7954083,,,2928716,37,0
7954083,08:41:00,08:41:00,2933815,38,1
7954083,,,2933816,39,0
7954083,,,2933817,40,0
7954083,,,2933818,41,0
7954083,,,2933835,42,0
7954083,08:46:00,08:46:00,2933836,43,1
7954083,,,2933819,44,0
7954083,,,2933820,45,0
7954083,,,2933821,46,0
7954083,,,2933822,47,0
7954083,,,2933823,48,0
7954083,08:51:00,08:51:00,2933824,49,1
7954083,,,2933825,50,0
7954083,,,2933826,51,0
7954083,,,2933827,52,0
7954083,,,2933828,53,0
7954083,,,2933829,54,0
7954083,,,2933830,55,0
7954083,,,2933831,56,0
7954083,,,2933832,57,0
7954083,,,2933833,58,0
7954083,,,2933834,59,0
7954083,09:02:00,09:02:00,2759335,60,1
7954093,09:10:00,09:10:00,2759346,0,1
7954093,,,2927977,1,0
7954093,,,2927978,2,0
7954093,,,2927979,3,0
7954093,,,2927980,4,0
7954093,,,2927981,5,0
7954093,,,2927982,6,0
7954093,09:15:00,09:15:00,2933837,7,1
7954093,,,2927983,8,0
7954093,,,2927984,9,0
7954093,,,2927985,10,0
7954093,,,2927986,11,0
7954093,09:21:00,09:21:00,2933838,12,1
7954093,,,2927987,13,0
7954093,09:26:00,09:26:00,2927988,14,1
7954093,,,2927989,15,0
7954093,,,2927990,16,0
7954093,,,2927991,17,0
7954093,,,2927992,18,0
7954093,,,2927993,19,0
7954093,,,2928387,20,0
7954093,,,2928388,21,0
7954093,,,2928389,22,0
7954093,,,2928702,23,0
7954093,,,2928703,24,0
7954093,,,2928704,25,0
7954093,,,2928705,26,0
7954093,09:30:00,09:30:00,2759362,27,1
7954093,09:35:00,09:35:00,2928707,28,1
7954093,,,2928708,29,0
7954093,,,2928709,30,0
7954093,,,2928710,31,0
7954093,,,2928711,32,0
7954093,,,2928712,33,0
7954093,,,2928713,34,0
7954093,,,2928714,35,0
7954093,,,2928715,36,0
7954093,,,2928716,37,0
7954093,09:41:00,09:41:00,2933815,38,1
7954093,,,2933816,39,0
7954093,,,2933817,40,0
7954093,,,2933818,41,0
7954093,,,2933835,42,0
7954093,09:46:00,09:46:00,2933836,43,1
7954093,,,2933819,44,0
7954093,,,2933820,45,0
7954093,,,2933821,46,0
7954093,,,2933822,47,0
7954093,,,2933823,48,0
7954093,09:51:00,09:51:00,2933824,49,1
7954093,,,2933825,50,0
7954093,,,2933826,51,0
7954093,,,2933827,52,0
7954093,,,2933828,53,0
7954093,,,2933829,54,0
7954093,,,2933830,55,0
7954093,,,2933831,56,0
7954093,,,2933832,57,0
7954093,,,2933833,58,0
7954093,,,2933834,59,0
7954093,10:02:00,10:02:00,2759335,60,1
7954101,10:10:00,10:10:00,2759346,0,1
7954101,,,2927977,1,0
7954101,,,2927978,2,0
7954101,,,2927979,3,0
7954101,,,2927980,4,0
7954101,,,2927981,5,0
7954101,,,2927982,6,0
7954101,10:15:00,10:15:00,2933837,7,1
7954101,,,2927983,8,0
7954101,,,2927984,9,0
7954101,,,2927985,10,0
7954101,,,2927986,11,0
7954101,10:21:00,10:21:00,2933838,12,1
7954101,,,2927987,13,0
7954101,10:26:00,10:26:00,2927988,14,1
7954101,,,2927989,15,0
7954101,,,2927990,16,0
7954101,,,2927991,17,0
7954101,,,2927992,18,0
7954101,,,2927993,19,0
