stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2759346,45690,Departing Transit Center,"Transit Center bordered by E 3rd, S Walnut and S Washington ",39.1642860191081,-86.5335705337296,,0,,,
2927977,45650,Lincoln St and Kirkwood Ave,southeast corner over intersection by stop sign,39.1665177733142,-86.5310449386578,,0,,,2
2927978,45505,Kirkwood Ave and Grant St (Outbound-Eastbound),southwest corner of intersection,39.166486,-86.529943,,0,,,
2927979,45143,Kirkwood Ave and Dunn St,southwest corner of intersection near stop sign,39.1664834773275,-86.5283594024468,,0,,,2
2927980,45597,7th St and Woodlawn Ave at the Indiana Memorial Union,located at safety island and protected bicycle lane,39.168439,-86.523929,,0,,,1
2927981,45593,Woodlawn Ave and 10th St at Woodlawn Field,across from Collins Dorm,39.171488223404,-86.5234463877315,,0,,,
2927982,45630,10th St and Walnut Grove St,At Woodlawn Field across from IU Psychology building,39.171563,-86.520893,,0,,,1
2933837,45369,Fee Ln & 11th @ Kelley Business School (outbound - northbound),,39.1728041640948,-86.5187990674591,,0,,,
2927983,45333,Fee @ Foster Quad,At Shea Hall and across from McNutt Quad ,39.17617,-86.518822,,0,,,
2927984,45335,Fee @ Briscoe Quad,At tennis courts and across from Briscoe Quad,39.178204,-86.518761,,0,,,
2927985,45398,17th @ Assembly Hall,Across from IU Alumni Association,39.179121,-86.521776,,0,,,1
2927986,45397,17th St and Indiana Ave,At IU Memorial Stadium,39.179089,-86.526878,,0,,,
2933838,45336,14th & Washington @ Brownstone (outbound),,39.176025,-86.532333,,0,,,
2927987,45564,Walnut St and 19th St,Across from Miller Showers Park,39.181297,-86.5335886269836,,0,,,
2927988,45399,Walnut St and Old State Rd 37,Across from Miller Showers Park in the 1700 north block,39.183095,-86.534022,,0,,,
2927989,45331,Kinser Pike and Parrish Rd,Across from shopping center and Kroger,39.1878612031493,-86.5376424659584,,0,,,2
2927990,45330	,Kinser Pike & W Skyline Dr,Across from W Skyline Dr,39.190502,-86.537651,,0,,,
2927991,45191	,Kinser Pike at Upper Cascades Skate Park,,39.191767,-86.537658,,0,,,
2927992,45161	,Briarcliff & Kingsley,,39.194241,-86.542168,,0,,,1
2927993,45190	,Briarcliff Drive,Mid block not near an intersecting street,39.194256,-86.545166,,0,,,
2928387,45162,Valleyview & Winding Way,,39.196346,-86.546646,,0,,,
2928388,45163,Winding Way & Windcrest - outbound,south side of the street,39.1967201917026,-86.5453676011887,,0,,,
2928389,45158,Winding Way & Kingsley,,39.19791,-86.543327,,0,,,
2928702,45403,Kinser Pike @ BHS North,near 3-way stop sign where street faces BHS North entry ,39.201035,-86.546921,,0,,,
2928703,45418,Kinser Pike & Rosewood,,39.205715,-86.547295,,0,,,
2928704,45570	,Kinser Pike & Acuff,,39.207985,-86.5473520294304,,0,,,
2928705,45417,Acuff & Rosewood,,39.208469,-86.549438,,0,,,
2759362,45416,Prow Rd @ Meadows Hospital ,,39.206658,-86.55213,,0,,,
2928707,45510,Cougar Pass and Maroon Drive at BHS North,,39.200365,-86.548488,,0,,,
2928708,45511,Maroon Drive and Kinser Pike at BHS North,at 3-way stop sign leads onto Kinser Pike,39.20092,-86.54734,,0,,,
2928709,45401,Winding Way & Kingsley Dr,northeast corner of intersection,39.198051,-86.543167,,0,,,
2928710,45509,Winding Way and Windcrest Drive - inbound,,39.19703,-86.545165,,0,,,
2928711,45507,Winding Way and Valleyview Drive,at stop sign,39.1964788199978,-86.5466122711639,,0,,,
2928712,45530,Briarcliff Dive and Valleyview Drive,where Valleyview turns into Briarcliff,39.1943197403095,-86.5464661865082,,0,,,
2928713,45531,Briarcliff Drive (Eastbound-Inbound),no intersecting street,39.194153,-86.545242,,0,,,
2928714,45508,Briarcliff Drive and Kinser Pike,at stop sign,39.194117,-86.541215,,0,,,
2928715,45506,Kinser Pike and West Skyline Drive,,39.190655,-86.537796,,0,,,
2928716,45402,Kinser Pike and Parrish Rd @ the North Kroger Shopping Center (Inbound),,39.187943,-86.537834,,0,,,
2933815,45546,College Ave @ Miller-Showers Park,,39.181976,-86.534769,,0,,,
2933816,45547,College Ave & 17th St,,39.17836,-86.534836,,0,,,
2933817,45212,College Ave @ CVS,CVS is across the street from bus stop,39.176471,-86.534858,,0,,,
2933818,45545,11th St & Walnut St,,39.1732487149537,-86.53380321593,,0,,,
2933835,45400,Walnut St and 14th St ,,39.175656,-86.533463,,0,,,
2933836,45543,14th St and Dunn St at Brownstone Apartments ,,39.175949,-86.528605,,0,,,
2933819,45544,Dunn St & 17th St @ IU Credit Union,,39.178651,-86.5283,,0,,,
2933820,45686,17th St & Fess Ave @ IU Memorial Stadium,Memorial Stadium is across the street from bus stop,39.178959,-86.525757,,0,,,
2933821,45541,17th St @ the IU Alumni Center & Assembly Hall,Assembly Hall is across the street from bus stop,39.178976,-86.521396,,0,,,
2933822,45542,Fee Ln @ Briscoe Quad (Southbound-Inbound),,39.178234,-86.518974,,0,,,
2933823,45548,Fee Ln at McNutt Quad,,39.175701,-86.519103,,0,,,
2933824,45549,Fee Ln @ Kelley School of Business (Southbound-Inbound),,39.172844,-86.519028,,0,,,
2933825,45396,10th St & Walnut Grove St @ Psychology Building,,39.171679,-86.520782,,0,,,
2933826,45368,10th St & Forrest Ave @ Geology and Informatics,,39.171698,-86.52221,,0,,,
2933827,45366,Woodlawn Ave and 7th St at Indiana Memorial Union,,39.16877,-86.523544,,0,,,
2933828,45367,7th St and Fess Ave (Westbound),,39.168558,-86.525481,,0,,,
2933829,45629,7th St and Indiana Ave,,39.168564,-86.526672,,0,,,
2933830,45371,7th St and Dunn St,,39.168576,-86.527914,,0,,,
2933831,45628,Dunn St and Kirkwood Ave,,39.166634,-86.528328,,0,,,
2933832,45627,Kirkwood Ave and Grant St,,39.166626,-86.529572,,0,,,
2933833,45626,Kirkwood Ave at the Public Library,,39.166644,-86.530543,,0,,,
2933834,45625,Kirkwood Ave and Washington St,,39.166652,-86.53219,,0,,,
2759335,45691,Transit Center,"Transit Center boarded by E 3rd, S Walnut and S Washington ",39.164292,-86.532392,,0,,,1
2949505,45365,Henderson St at Winslow Plaza and Brandon Court,,39.1378913013345,-86.5268129110336,,0,,,
2949506,45464,Henderson & Graham,,39.1393642087797,-86.526871919632,,0,,,
2949507,45552,Henderson St and Wylie Farm Rd,,39.1417024900768,-86.5268987417221,,0,,,
2949508,45648,Henderson St and Summit View Pl,,39.1444234527431,-86.5268450975418,,0,,,
2952403,45590,Henderson & Miller,,39.1467782070935,-86.5268504619598,,0,,,
2952405,45211,Henderson @ Regency Court,,39.149212,-86.526855,,0,,,
2952399,45433,Hillside & Palmer,,39.1505722745205,-86.5291464328766,,0,,,
2952400,45377,Hillside & Lincoln,,39.1505556343205,-86.5312814712524,,0,,,
2952401,45379,Hillside & Walnut,,39.150580594619,-86.5333950519562,,0,,,
2952423,45378,Walnut & Grimes,,39.1530890594743,-86.5336096286774,,0,,,
2949523,45651	,Walnut & Davis,,39.1547155618664,-86.5335881710052,,0,,,
2952424,45380,Walnut St & Dixie St,,39.1565708102544,-86.5335291624069,,0,,,
2949524,45382	,Walnut and 1st St,,39.1591331356599,-86.5335774421692,,0,,,
2949525,45381	,Walnut & 2nd,,39.1613085432348,-86.5335774421692,,0,,,
